start	end	locality_key	plot	reforestation_notes	coordinates	_coordinates_latitude	_coordinates_longitude	_coordinates_altitude	_coordinates_precision	photo_plot	dominant_spp	dominant_spp/Pinus_ayacauite	dominant_spp/Pinus_hartwegii	dominant_spp/Abies_religiosa	dominant_spp/Poaceae	dominant_spp/Buddleja_corda	dominant_spp/Baccharis_conferta	dominant_spp/Senecio_cinerarioides	dominant_spp/otros	dominant_spp_others	ozone_damage_veg	slope	topography	soil_texture	organic_matter	tree_coverage	shrubs_coverage	observations	__version__	_version_	_id	_uuid	_submission_time	_validation_status	_index
2020-12-16T12:52:35.189-06:00	2020-12-16T12:56:29.844-06:00	CX	10	No	19.2904147 -99.3062129 3492.658674677834 5.0	19.2904147	-99.3062129	3492.658674677834	5.0	1608144815336.jpg	Abies_religiosa	0	0	1	0	0	0	0	0		40_to_70	25	slope_mid_valley	fine	1_to_5	more_70	5_10	"Se quemó en el 98, pero poco"	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7883	58379bfc-255b-453c-9412-8eeb457205ea	2020-12-18T02:44:59		14
2020-12-16T13:15:19.363-06:00	2020-12-16T13:20:00.221-06:00	CX	12	No	19.2913278 -99.3062615 3471.9669265178964 5.0	19.2913278	-99.3062615	3471.9669265178964	5.0	1608146289245.jpg	Abies_religiosa	0	0	1	0	0	0	0	0		40_to_70	25	slope_mid_valley	fine	more_5	more_70	10_40	El suelo completamente cubierto de musgo. Aquí no se quemó en el 98 (límite de donde sí)	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7885	c3cc12e0-5efc-4cea-ae19-3bf3e27f5a03	2020-12-18T02:46:55		15
2020-12-16T16:43:40.123-06:00	2020-12-16T16:47:05.426-06:00	CX	13	2015 y 2020 sedema vivero de san luis	19.292044 -99.3065799 3448.3919980712235 5.0	19.292044	-99.3065799	3448.3919980712235	5.0	1608158672951.jpg	Pinus_hartwegii Abies_religiosa Poaceae	0	1	1	1	0	0	0	0		less10	35	slope_top_valley	fine	more_5	10_40	none	Al lado del camino	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7943	706d5799-ea0a-48e5-aa52-ec3a9c3fb294	2020-12-18T21:43:00		16
2020-12-16T16:33:02.040-06:00	2020-12-16T16:37:20.857-06:00	CX	15	2020 sedema con planta san luis	19.293145 -99.3070448 3457.48290074151 5.0	19.293145	-99.3070448	3457.48290074151	5.0	1608158056923.jpg	Abies_religiosa Baccharis_conferta Poaceae	0	0	1	1	0	1	0	0		ausente	20	slope_top_valley	coarse	less_1	5_10	10_40	"Muchas rocas, límite cresta"	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7889	596ef565-55c0-4448-bd75-dfd0ba49c6c3	2020-12-18T02:53:38		17
2020-12-16T16:51:06.329-06:00	2020-12-16T16:55:11.729-06:00	CX	14	Sedema 2020 vivero san luis	19.2924722 -99.3061675 3466.8308134609833 5.0	19.2924722	-99.3061675	3466.8308134609833	5.0	1608159159999.jpg	Abies_religiosa Poaceae Buddleja_corda Senecio_cinerarioides	0	0	1	1	1	0	1	0		10_to_40	10	slope_top_valley	fine	1_to_5	more_70	40_70	La mitad de la parcela está en el límite con el pastizal	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7944	f0a0a742-3862-4495-b29a-45522bcc7c04	2020-12-18T21:43:30		18
2020-12-17T10:33:08.915-06:00	2020-12-17T10:36:34.095-06:00	CX	17	2000 ayacahuite sedema	19.2851108 -99.3019012 3474.095967043191 5.0	19.2851108	-99.3019012	3474.095967043191	5.0	1608222874528.jpg	Pinus_ayacauite Abies_religiosa Baccharis_conferta	1	0	1	0	0	1	0	0		40_to_70	40	slope_top_valley	fine	more_5	40_70	40_70	Los pinos ayacahuite presentan conos	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7962	d9babb0e-b22a-4e09-a03d-e5e02aec56a2	2020-12-18T21:56:29		19
2020-12-17T12:12:37.214-06:00	2020-12-17T12:15:09.552-06:00	CX	19	No	19.2865526 -99.3047134 3447.295528373681 5.0	19.2865526	-99.3047134	3447.295528373681	5.0	1608228819063.jpg	Abies_religiosa Buddleja_corda Baccharis_conferta	0	0	1	0	1	1	0	0		10_to_40	40	slope_mid_valley	rock	1_to_5	more_70	40_70	Regeneración natural en el límite de lo quemado	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7965	0f71a5f5-4bcc-486d-b00a-5278c61943c3	2020-12-18T21:58:00		20
2020-12-17T12:30:03.295-06:00	2020-12-17T13:30:38.633-06:00	CX	20	No	19.2864959 -99.3047471 3545.4118125420064 5.284	19.2864959	-99.3047471	3545.4118125420064	5.284	1608229876380.jpg	Abies_religiosa Baccharis_conferta	0	0	1	0	0	1	0	0		10_to_40	30	slope_mid_valley	fine	less_1	40_70	less_5	En límite regeneración natural. Semiclaro abierto al sacar madera muerta. Muestra L55 se saltan porque se perdieron las etiquetas.	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7972	757a7c30-8e34-4844-b27f-32edea1cdfe4	2020-12-18T21:59:48		21
2020-12-17T12:22:44.826-06:00	2020-12-17T12:26:33.162-06:00	CX	21	Sedema 2000 ayacahuite	19.286875 -99.3045034 3478.942536887713 5.0	19.286875	-99.3045034	3478.942536887713	5.0	1608229456759.jpg	Abies_religiosa Pinus_ayacauite Senecio_cinerarioides Baccharis_conferta	1	0	1	0	0	1	1	0		10_to_40	30	slope_mid_valley	fine	1_to_5	40_70	40_70	Límite regeneración natural de lo quemado. 	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	7969	d934481a-4769-4e6b-b246-cbb7fe87a80d	2020-12-18T21:58:57		22
2020-12-18T10:54:26.498-06:00	2020-12-18T10:58:55.602-06:00	CX	24	No	19.2982947 -99.2927306 2715.203908940777 5.0	19.2982947	-99.2927306	2715.203908940777	5.0	1608310556737.jpg	Abies_religiosa Baccharis_conferta otros	0	0	1	0	0	1	0	1	Comarosphalis biscolor	less10	65	slope_top_valley	medium	1_to_5	40_70	40_70	Cerca hay daño por ozono	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	8049	05385630-dda7-4f42-9489-7a66f40669c3	2020-12-19T01:40:14		23
2020-12-18T12:07:36.878-06:00	2020-12-18T12:18:11.723-06:00	CX	27	2016 vivero santa rosa	19.3077888 -99.2911236 3010.237679122947 5.0	19.3077888	-99.2911236	3010.237679122947	5.0	1608314982918.jpg	Abies_religiosa Senecio_cinerarioides otros	0	0	1	0	0	0	1	1	Quercus	ausente	10	slope_low_valley	medium	1_to_5	10_40	5_10	Las etiquetas dicen 2014 pero la reforestación se hizo en 2016	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	8050	47034d51-3ea1-4ccb-aa83-1067b5f339fc	2020-12-19T01:40:22		24
2020-12-18T12:14:30.441-06:00	2020-12-18T12:17:35.626-06:00	CX	26	2016 vivero santa rosa	19.3067304 -99.2904857 2966.8402995057404 5.0	19.3067304	-99.2904857	2966.8402995057404	5.0	1608315358159.jpg	Abies_religiosa	0	0	1	0	0	0	0	0		ausente	25	slope_low_valley	medium	1_to_5	more_70	none	Las etiquetas dicen 2014 pero la reforestación se hizo en 2016	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	8051	04479a19-577f-4900-85e5-a632eb15b3a0	2020-12-19T01:40:33		25
2020-12-18T12:23:02.134-06:00	2020-12-18T12:26:35.884-06:00	CX	25	2016 vivero santa rosa	19.3069328 -99.2910549 3036.656115357764 5.891	19.3069328	-99.2910549	3036.656115357764	5.891	1608315919826.jpg	Abies_religiosa	0	0	1	0	0	0	0	0		ausente	15	slope_low_valley	medium	1_to_5	more_70	none	Las etiquetas dicen 2014 pero la reforestación se hizo en 2016	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	8052	bc8094a6-3f27-4b95-b23a-14b8928daec1	2020-12-19T01:40:46		26
2020-12-19T11:00:57.286-06:00	2020-12-19T11:05:15.742-06:00	CX	30	No	19.3016803 -99.2984669 3374.892638253048 5.0	19.3016803	-99.2984669	3374.892638253048	5.0	1608397356059.jpg	Abies_religiosa Senecio_cinerarioides otros	0	0	1	0	0	0	1	1	Arbusto hojas anchas flores amarillas	ausente	20	slope_top_valley	fine	more_5	40_70	more_70	Límite de dónde llegó el incendio pero con menos intensidad. Dos troncos anchos en el suelo.	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	8304	963a5f4c-70b4-4cd7-a54c-b7148d1ae754	2020-12-20T00:38:26		27
2020-12-19T10:43:35.301-06:00	2020-12-19T10:48:30.006-06:00	CX	28	No	19.3020744 -99.2977154 3369.0497314911336 5.0	19.3020744	-99.2977154	3369.0497314911336	5.0	1608396314096.jpg	Abies_religiosa Poaceae otros	0	0	1	1	0	0	0	1	Arbusto Flores amarillas hoja ancha	less10	50	slope_top_valley	rock	1_to_5	more_70	40_70	No llegó aquí el incendio	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	8303	2410c33c-3279-46eb-a603-6f755d1e897b	2020-12-20T00:38:24		28
2020-12-19T11:16:08.930-06:00	2020-12-19T11:21:46.268-06:00	CX	29	No	19.3021483 -99.2984018 3352.545708942227 6.364	19.3021483	-99.2984018	3352.545708942227	6.364	1608398244126.jpg	Abies_religiosa otros	0	0	1	0	0	0	0	1	Arbusto hojas anchas flores amarillas amarillas	less10	25	slope_mid_valley	medium	more_5	10_40	40_70	Límite de la zona que se quemó. Semiclaro con regeneración natural	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	8305	68adec0d-7a90-49fd-bac4-738e1cb5ae9d	2020-12-20T00:38:30		29
2020-12-19T13:24:28.923-06:00	2020-12-19T13:27:33.925-06:00	CX	32	2013 y 2016 vivero santa rosa	19.2979629 -99.300274 3431.1391193820164 5.0	19.2979629	-99.300274	3431.1391193820164	5.0	1608405920192.jpg	Abies_religiosa Baccharis_conferta Senecio_cinerarioides	0	0	1	0	0	1	1	0		less10	35	slope_top_valley	medium	1_to_5	10_40	40_70	Las regirestaciones del 2016 tienen etiquetas azules con clave. Límite de dónde llegó el incendio	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	8307	b7bb9c26-636f-487b-9744-7e47fac5894d	2020-12-20T00:38:54		30
2020-12-19T13:35:06.376-06:00	2020-12-19T13:37:58.789-06:00	CX	31	2013 y 2019 vivero santa rosa	19.298357 -99.2996337 3428.3694318598136 5.0	19.298357	-99.2996337	3428.3694318598136	5.0	1608406596105.jpg	Baccharis_conferta Senecio_cinerarioides	0	0	0	0	0	1	1	0		less10	20	slope_top_valley	rock	1_to_5	10_40	more_70	Límite de dónde llegó el incendio	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	8308	dd329729-4cad-41db-a82c-b0426fa1ed97	2020-12-20T00:38:59		31
2020-12-19T14:04:13.600-06:00	2020-12-19T14:08:51.776-06:00	CX	33	2013 y 2016 vivero santa rosa	19.2988732 -99.2992998 3415.8097726255655 5.0	19.2988732	-99.2992998	3415.8097726255655	5.0	1608408338189.jpg	Abies_religiosa Baccharis_conferta Poaceae	0	0	1	1	0	1	0	0		ausente	10	slope_top_valley	medium	1_to_5	10_40	40_70	Se llegó a quemar en el 98	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	8309	c91c09be-37a9-40fe-a174-011c2da6346a	2020-12-20T00:39:05		32
2021-01-27T20:11:36.779-06:00	2021-01-27T20:21:12.712-06:00	CX	23	No	19.30204 -99.29206 3290 6	19.30204	-99.29206	3290	6	1608309408673-20_12_49.jpg	Abies_religiosa Senecio_cinerarioides otros	0	0	1	0	0	0	1	1	"Helechos, tapete de musgo, malvaceae"	ausente	50	slope_mid_valley	fine	more_5	more_70	40_70	"coordenadas tomadas con gps e incorporadas manualmente en kobo, la altitud se aproximó del mapa"	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	10228	8cb7c577-9bca-44b1-8009-c71a5a330e8b	2021-01-28T02:21:27		33
2021-01-27T20:09:22.942-06:00	2021-01-27T20:11:36.759-06:00	CX	47	2018 vivero santa rosa	19.2923392 -99.2950304 3459.050053305924 5.471	19.2923392	-99.2950304	3459.050053305924	5.471	1610733635880-20_10_26.jpg	Abies_religiosa	0	0	1	0	0	0	0	0		10_to_40	30	slope_top_valley	medium	less_1	10_40	5_10	Tiene un árbol utilizado como semillero en 2018	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	10226	25602e8c-fafd-494a-9283-4be50c08e2fb	2021-01-28T02:11:51		34
2021-01-27T20:06:46.942-06:00	2021-01-27T20:09:22.913-06:00	CX	48	No	19.2928972 -99.2948901 3522.3940593749285 5	19.2928972	-99.2948901	3522.3940593749285	5	1610733306369-20_8_11.jpg	Abies_religiosa	0	0	1	0	0	0	0	0		10_to_40	35	slope_top_valley	fine	more_5	more_70	5_10	Recientemente un árbol se calló y abrió un claro	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	10225	b2eafc05-7d38-48f7-b545-8d4fb567c3ac	2021-01-28T02:09:37		35
2021-01-27T20:02:59.197-06:00	2021-01-27T20:06:46.909-06:00	CX	46	No	19.2927066 -99.2952287 3464.835501796566 5	19.2927066	-99.2952287	3464.835501796566	5	1610733093164-20_5_33.jpg	Abies_religiosa	0	0	1	0	0	0	0	0		10_to_40	30	slope_top_valley	fine	1_to_5	40_70	5_10	Tiene un árbol utilizado como semillero en 2018	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	10224	706849a1-7462-4d31-a186-cca160296a7d	2021-01-28T02:07:02		36
2020-12-20T10:40:05.993-06:00	2020-12-20T10:49:08.199-06:00	PN	34	"Sí hubo, pero no sabemos el año y origen. Quizá igual que parecela 36."	19.2954689 -99.319517 3136.5159807046875 7.341	19.2954689	-99.319517	3136.5159807046875	7.341	1608482645755.jpg	Abies_religiosa Baccharis_conferta otros	0	0	1	0	0	1	0	1	Pinus patula reforestación. La pesadilla de bolitas pegajosas.	10_to_40	25	slope_mid_valley	fine	more_5	40_70	40_70		vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	9255	d251c96e-78e5-4a1c-9422-0401ab995b3c	2020-12-22T15:55:35		37
2020-12-20T10:17:59.472-06:00	2020-12-20T10:22:32.850-06:00	PN	36	Sí 2019 y 2018. Una parte de las plantas es del vivero de santa rosa y otra del vivero de san luis	19.2958012 -99.3209629 2785.140553822741 5.0	19.2958012	-99.3209629	2785.140553822741	5.0	1608481243801.jpg	Abies_religiosa otros	0	0	1	0	0	0	0	1	Estrato herbaceo abundante	less10	5	flat	fine	more_5	more_70	less_5	Abundante musgo. 	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	9254	2867a608-66ce-478f-b05c-66792421d339	2020-12-22T15:55:31		38
2020-12-20T10:54:05.251-06:00	2020-12-20T11:00:06.021-06:00	PN	35	Probablemente 2018 y 2019 con planta de Santa Rosa y de San Luis	19.295577 -99.3192803 3102.0883802128956 5.928	19.295577	-99.3192803	3102.0883802128956	5.928	1608483467197.jpg	Abies_religiosa	0	0	1	0	0	0	0	0		less10	15	slope_low_valley	fine	more_5	40_70	none	Hay tinas ciegas	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	9256	3c7106cb-8601-48a5-9e68-6f2f3a63d9c1	2020-12-22T15:55:39		39
2020-12-20T13:22:13.649-06:00	2020-12-20T13:38:41.664-06:00	PN	38	No	19.2831888 -99.3160333 3212.266922738403 5.0	19.2831888	-99.3160333	3212.266922738403	5.0	1608492200229.jpg	Abies_religiosa Baccharis_conferta Senecio_cinerarioides Poaceae otros	0	0	1	1	0	1	1	1	Pinus patula y Cupressus lusitanica de reforestación	ausente	40	small_depresion	fine	more_5	5_10	more_70	Cañada de mucha humedad. Límite de dónde llegó el incendio	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	9264	87a1addc-3264-4405-986c-9fb74d246e42	2020-12-22T15:57:37		40
2020-12-20T13:28:30.417-06:00	2020-12-20T13:35:32.432-06:00	PN	37	2013 quizá. Preguntar a Ismael	19.283869 -99.316023 3201.3217666316777 7.186	19.283869	-99.316023	3201.3217666316777	7.186	1608492718829.jpg	Abies_religiosa Poaceae Baccharis_conferta Pinus_ayacauite otros	1	0	1	1	0	1	0	1	Cupressus lusitanica reforestación	less10	20	small_depresion	fine	more_5	10_40	5_10	Árboles grandes del rededor con daño por ozono. Claro con zacatones grandes	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	9265	6d9bdec3-3d64-406d-88db-3c56596499a4	2020-12-22T15:57:41		41
2020-12-20T14:12:16.145-06:00	2020-12-20T14:21:48.588-06:00	PN	39	No de oyamel. Pero sí de pinos	19.2838999 -99.316578 3315.1360226534307 7.036	19.2838999	-99.316578	3315.1360226534307	7.036	1608495591638.jpg	Pinus_ayacauite Abies_religiosa	1	0	1	0	0	0	0	0		10_to_40	30	slope_mid_valley	fine	more_5	more_70	none	Reforestación de Pinos muy densa probablemente en los dosmiles	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	9266	d2559e5d-e949-4448-89a7-d735e09e0cca	2020-12-22T15:57:47		42
2020-12-21T10:28:10.267-06:00	2020-12-21T10:31:06.943-06:00	PN	40	No	19.2745048 -99.3071772 3516.4353709481657 5.0	19.2745048	-99.3071772	3516.4353709481657	5.0	1608568152262.jpg	Pinus_ayacauite Abies_religiosa Senecio_cinerarioides Baccharis_conferta	1	0	1	0	0	1	1	0		40_to_70	35	slope_top_valley	fine	more_5	40_70	40_70	Zona afectada por el incendio. Reforestación con Pinus en los 2000s	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	9273	e7fb8007-8839-47a3-8961-96c2da66db4b	2020-12-22T15:59:20		43
2020-12-21T10:48:26.085-06:00	2020-12-21T11:11:32.501-06:00	PN	42	No	19.275103 -99.3074937 3418.9967952035367 6.823	19.275103	-99.3074937	3418.9967952035367	6.823	1608569570727.jpg	Pinus_ayacauite Abies_religiosa Poaceae otros	1	0	1	1	0	0	0	1	"Cupressus lusitanica, Pinus patula"	40_to_70	40	slope_top_valley	fine	more_5	40_70	10_40	"Zona donde pegó fuerte el incendio. Árbol adulto que sobrevivió el incendio, quizá protegido por roca. Reforestación de pino en los 2000s."	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	9274	7d1bf706-6780-4ab0-ae15-d1364413f0f1	2020-12-22T15:59:23		44
2020-12-21T11:04:49.637-06:00	2020-12-21T11:11:59.380-06:00	PN	41	No	19.273656 -99.3086057 3376.1097904518247 5.0	19.273656	-99.3086057	3376.1097904518247	5.0	1608570386121.jpg	Pinus_ayacauite Abies_religiosa otros	1	0	1	0	0	0	0	1	Cupressus lusitanica	40_to_70	40	slope_top_valley	fine	more_5	40_70	5_10	Parecela partida por brecha. Zona donde pegó fuerte el incendio. Árbol adulto con conos que sobrevivió al incendio. Reforestación de pino y cupressus en los 2000s.	vkprNQP7xGCGbCjheZo8EF	vLhs5WHQGCSFbx2UupR58C	9275	f7d8d352-c032-4264-8677-c895439bd5b5	2020-12-22T15:59:26		45
